id,title,describe,public,created_at,updated_at,user_id
2,Macのショートカット,Macで覚えておくと便利なショートカットをまとめました！,t,2020-12-17 09:49:34.946821+00,2020-12-17 09:49:34.946862+00,2
3,ターミナル,シェルの基本コマンドをまとめています！,t,2020-12-17 10:18:35.057338+00,2020-12-17 10:18:35.057366+00,2
4,Webのキホン,Web開発で必要な用語・知識をまとめました！,t,2020-12-17 10:47:57.623421+00,2020-12-17 10:47:57.623449+00,3
5,Vim,"Vimはシェルで操作するテキストエディタです。
ここでは、自分がよく使うコマンドをまとめてます。",t,2020-12-17 14:40:56.241381+00,2020-12-17 14:40:56.241436+00,3
16,推薦システム,"推薦システムとは何か、基本的な考え方をまとめました。

推薦のアルゴリズムを理解するには数学の特に線形代数が必須ですが、数式は出しません。",t,2020-12-20 08:49:46.949148+00,2020-12-20 08:56:17.736277+00,5
17,コード　〜音楽で遊ぼう④〜,"音楽を楽しもうの後半は「コード」についてです😃

コードは「和音」のことで、和音の種類をアルファベットと記号で書きます。
表記も理解もむずかしいです！暗記・勉強になってしまわないように気をつけましょう😖💦

コードを覚えるメリットは、初見、アレンジ、楽曲理解など様々です！
楽譜のおたまじゃくしを見なくても「Am7」と見てざっと和音を把握できることは便利です😉

覚え方のコツは、いきなり全てを覚えようとせず、基礎、応用、発展と少しずつ覚えるといいです！
また、ピアノやアプリで「耳」「階名」で聞いたり歌ったりするとなおヨシです👍がんばりましょー❗️",t,2020-12-20 09:13:47.603922+00,2020-12-20 09:13:47.604081+00,6
7,はじめてのDocker,"Docker全くさわったことがない！という方のコンテンツです。

内容はDockerの概念と基礎となるコマンドを用意しています。ぜひチェックしてくださいね〜😉",t,2020-12-18 08:33:31.030569+00,2020-12-18 08:34:25.658852+00,4
8,マーケティング 入門,"ビジネスで扱われるマーケティング用語についてまとめました。

ちきりんさんが著作した『マーケット感覚を身につけよう』の独自用語もあります。",t,2020-12-18 12:38:23.70888+00,2020-12-18 12:38:23.708929+00,5
9,音階　〜音楽で遊ぼう①〜,"音楽を楽しむためのレッスン「音楽で遊ぼう」の記念すべき第1回です✨❤️

カラオケ、ピアノ、ギター、音楽を楽しむために一番大切なことは何だと思いますか？🤔

それはズバリ「音階」です！！
音階、つまり「ドレミ」の感覚を身につけると、流行りの歌や街中の音楽が「ドレミ」に聞こえ、アレンジして歌ったり耳コピして演奏できるようになるんです❗️そんなことできたら絶対楽しいですよね😆✨

このレッスンでは、ドレミとは何なのか、どのように身に付けるかを学びます。楽しみながら学びましょう🎶",t,2020-12-18 13:05:07.651348+00,2020-12-18 13:11:19.215535+00,6
18,JacaScript 基礎,JavaScript初心者むけの問題です！,t,2020-12-20 09:34:05.099544+00,2020-12-20 09:34:05.099606+00,2
10,音楽用語　〜音楽で遊ぼう②〜,"音楽を楽しむためのレッスン「音楽で遊ぼう」の第2回です🎶

音楽を楽しむだけでなく、本格的に音楽を学ぶためには「楽譜」を読めるようなる必要があります！

楽譜に書かれていることは、リズム、音程、速度や奏法の用語などが主なものになります。
一口に楽譜を読むと言っても、リズムや音程など読み正確に演奏すればよい、という訳でもないのです😳

楽譜という「音楽家の言語」を理解できると、国や時代を超えて様々な世界を知ることができます。",f,2020-12-19 04:34:27.199395+00,2020-12-19 04:55:14.694759+00,6
11,VScode コマンド,"よく使うVScodeの便利なコマンド集です🥳

(コマンドはMacを想定しています)",t,2020-12-19 05:07:00.860982+00,2020-12-19 05:16:02.814764+00,2
12,VScode 拡張機能,VScodeの便利な拡張機能をまとめてます😎,f,2020-12-19 05:19:23.377856+00,2020-12-19 05:21:24.52283+00,2
13,Python,自分用のPython備忘録,t,2020-12-19 05:26:38.670683+00,2020-12-19 05:26:38.670735+00,3
14,Django,PythonのWebフレームワーク、Djangoで扱われる用語やコマンドなど,t,2020-12-19 05:29:43.782128+00,2020-12-19 05:29:43.782181+00,3
15,AWS　入門,AWSをさわったことのない方に、基礎となる用語や概念を紹介します！,t,2020-12-20 05:15:47.572696+00,2020-12-20 05:15:47.572722+00,4
6,ネットワーク　基礎,"コンピュータのネットワークについて解説します！

「IPアドレスとかポートって用語は知ってるけど説明できない、、😖」

そんなあなたに最適です👍",t,2020-12-18 07:41:20.811463+00,2020-12-20 06:10:21.551233+00,4
19,テストの要点,ソフトウェア（バックエンド）テストのポイントを自分なりにまとめました。,t,2020-12-20 09:43:27.185164+00,2020-12-20 09:44:25.637189+00,3
20,Git コマンド,Gitでよく使うコマンドを集めました💪,t,2020-12-20 13:35:40.403162+00,2020-12-20 13:35:40.403191+00,2
21,GCP,GCPの特徴・概念を紹介します〜,f,2020-12-20 14:02:09.90174+00,2020-12-20 14:02:09.901832+00,4
22,SQL,DMLを中心に基本的な書き方などを,f,2020-12-20 14:03:56.167457+00,2020-12-20 14:04:01.623491+00,3
23,音楽史　〜音楽で遊ぼう③〜,音楽を楽しむためのレッスン「音楽で遊ぼう」の第3回です✨,f,2020-12-20 14:05:57.67201+00,2020-12-20 14:10:04.461437+00,6
